,Dataset,Repetition,ADAPT,ADMIC-Basic,ADMIC
1,Zeller G(2014),1,0.545092838196287,0.749336870026525,0.736074270557029
2,Zeller G(2014),2,0.661803713527852,0.684350132625995,0.610079575596817
3,Zeller G(2014),3,0.631299734748011,0.692307692307692,0.714854111405836
4,Zeller G(2014),4,0.70159151193634,0.595490716180371,0.692307692307692
5,Zeller G(2014),5,0.783819628647215,0.655172413793104,0.628647214854111
6,Zeller G(2014),6,0.587533156498674,0.684350132625995,0.710875331564987
7,Zeller G(2014),7,0.631299734748011,0.785145888594164,0.610079575596817
8,Zeller G(2014),8,0.738726790450928,0.677718832891247,0.677718832891247
9,Zeller G(2014),9,0.722811671087533,0.769230769230769,0.705570291777188
10,Zeller G(2014),10,0.696286472148541,0.785145888594164,0.718832891246684
11,Zeller G(2014),11,0.807692307692308,0.704244031830239,0.684350132625995
12,Zeller G(2014),12,0.709549071618037,0.708222811671087,0.648541114058355
13,Zeller G(2014),13,0.588859416445623,0.70159151193634,0.708222811671088
14,Zeller G(2014),14,0.649867374005305,0.615384615384615,0.815649867374005
15,Zeller G(2014),15,0.693633952254642,0.718832891246684,0.692307692307692
16,Zeller G(2014),16,0.582228116710875,0.722811671087533,0.778514588859416
17,Zeller G(2014),17,0.561007957559682,0.629973474801061,0.572944297082228
18,Zeller G(2014),18,0.385941644562334,0.672413793103448,0.814323607427056
19,Zeller G(2014),19,0.729442970822281,0.461538461538462,0.706896551724138
20,Zeller G(2014),20,0.706896551724138,0.741379310344828,0.637931034482759
21,Zeller G(2014),21,0.70026525198939,0.684350132625995,0.683023872679045
22,Zeller G(2014),22,0.757294429708223,0.673740053050398,0.721485411140584
23,Zeller G(2014),23,0.763925729442971,0.775862068965517,0.629973474801061
24,Zeller G(2014),24,0.635278514588859,0.709549071618037,0.59946949602122
25,Zeller G(2014),25,0.70026525198939,0.538461538461538,0.754641909814324
26,Zeller G(2014),26,0.758620689655172,0.663129973474801,0.663129973474801
27,Zeller G(2014),27,0.470822281167109,0.778514588859416,0.639257294429708
28,Zeller G(2014),28,0.688328912466844,0.490716180371353,0.718832891246684
29,Zeller G(2014),29,0.690981432360743,0.740053050397878,0.639257294429708
30,Zeller G(2014),30,0.595490716180371,0.653846153846154,0.70026525198939
31,Zeller G(2014),31,0.683023872679045,0.690981432360743,0.773209549071618
32,Zeller G(2014),32,0.628647214854111,0.614058355437666,0.769230769230769
33,Zeller G(2014),33,0.750663129973475,0.709549071618037,0.708222811671088
34,Zeller G(2014),34,0.759946949602122,0.725464190981432,0.769230769230769
35,Zeller G(2014),35,0.778514588859416,0.655172413793103,0.73209549071618
36,Zeller G(2014),36,0.46551724137931,0.710875331564987,0.73474801061008
37,Zeller G(2014),37,0.46551724137931,0.663129973474801,0.717506631299735
38,Zeller G(2014),38,0.748010610079576,0.737400530503979,0.693633952254642
39,Zeller G(2014),39,0.688328912466844,0.757294429708223,0.688328912466843
40,Zeller G(2014),40,0.769230769230769,0.749336870026525,0.543766578249337
41,Zeller G(2014),41,0.728116710875332,0.661803713527852,0.668435013262599
42,Zeller G(2014),42,0.657824933687003,0.641909814323607,0.761273209549072
43,Zeller G(2014),43,0.649867374005305,0.608753315649867,0.652519893899204
44,Zeller G(2014),44,0.587533156498674,0.645888594164456,0.655172413793104
45,Zeller G(2014),45,0.789124668435013,0.685676392572944,0.648541114058355
46,Zeller G(2014),46,0.590185676392573,0.738726790450928,0.745358090185676
47,Zeller G(2014),47,0.688328912466843,0.575596816976127,0.80106100795756
48,Zeller G(2014),48,0.628647214854111,0.668435013262599,0.709549071618037
49,Zeller G(2014),49,0.578249336870027,0.746684350132626,0.618037135278515
