,n0,n.eff,fdr0,fdr.adj
216,13,4,0.692307692307692,0.9
217,9,7,0.555555555555556,1
218,4,3,0.5,1
219,7,7,0.571428571428571,1
220,12,10,0.583333333333333,1
221,8,5,0.625,1
222,12,13,0.666666666666667,1
223,4,4,0.5,1
224,20,11,0.8,0.9
225,11,5,0.636363636363636,0.833333333333333
226,14,12,0.642857142857143,1
227,16,3,0.6875,0.769230769230769
228,12,8,0.666666666666667,1
229,10,4,0.7,1
230,9,8,0.777777777777778,1
231,18,16,0.777777777777778,0.666666666666667
232,14,3,0.785714285714286,0.727272727272727
233,6,4,0.5,0.5
234,14,4,0.714285714285714,0.818181818181818
235,14,10,0.714285714285714,1
236,17,7,0.764705882352941,0.9
237,8,3,0.75,1
238,14,9,0.785714285714286,1
239,7,4,0.857142857142857,1
240,13,7,0.692307692307692,0.833333333333333
241,16,7,0.6875,0.9
242,14,3,0.714285714285714,0.818181818181818
243,12,13,0.75,1
244,14,9,0.714285714285714,0.833333333333333
245,17,16,0.764705882352941,1
246,8,5,0.5,1
247,10,9,0.7,1
248,7,3,0.714285714285714,0.75
249,18,6,0.777777777777778,1
250,11,2,0.818181818181818,1
251,8,4,0.5,0.666666666666667
252,15,8,0.8,1
253,7,6,0.857142857142857,1
254,7,6,0.571428571428571,0
