,None,Include
Zeller G(2014),0.233270223104285,0.219582462071277
Feng Q(2015),0.218801571928297,0.195531722108714
Vogtmann E(2016),0.243121375935315,0.225124516389821
Schirmer M(2018),0.229514911193403,0.208238646041398
Nielsen HB(2014),0.22153960290208,0.20384465734878
He Q(2017),0.235804515552796,0.216617073786659
Liu RX(2017),0.220565739484144,0.201283552374659
Jie ZY(2017),0.228553759527163,0.208474180483931
