,V1,V2,V3,V4
BONOBO-Precision,0.0229166666666667,0.0657738095238095,0.131548106713548,0.161163163805112
Pearson,0.0336309523809524,0.103541666666667,0.156256506707274,0.166899582000126
Spiec-Easi,0.073125,0.0960416666666667,0.144308106109577,0.170907386072869
SparCC,0.111636904761905,0.140958867521368,0.18019709151143,0.183865373934575
BEEM-Static,0.0840625,0.169815323565324,0.187895397086574,0.181991781277288
